"Артикул","Название модели (англ. ориг. поставщика)","Подгруппа"
"WFKR48071/303","FT AGATE ANIMAL MICRO TERRY ROMPER","Комбинезоны"
"WJW98/GRN","B - JUICY SCRIPT ENAMEL BANGLE","Браслеты"
"WFST24298/TOUR","CROPPED SHEER DAISY JACQUARD PULLOVER","Свитера"
"WFWV76750/501","SW HIBISCUS LACE VEST","Жилеты"
"WFWR77423/425","DNM BRAIDED CULOTTE JUMPSUIT","Комбинезоны"
"WFWR76733/500","SW HIDDEN COVE FLORAL LACE UP JUMPSUIT","Комбинезоны"
"JWTKJ82403/419","TRK KNIT HAVANA SOLID JACKET","Толстовки"
"JWFKT78558/403","KNT LOGO RAINBOW GRAPHIC TEE","Футболки"
"JWFWB86195/421","DNM CACTUS EMB GIRLFRIEND JEAN","Джинсы"
"WTKT99525/419","TRK FLORAL COUTURE CLASSIC SS TEE","Футболки"
"WTKT82859/419","TRK LT WT VELOUR PARADISE COVE PULLOVER","Толстовки"
"WTKB86102/419","TRK LW VELOUR CROPPED WIDE LEG PANT","Брюки"
"WTKB82730/419","TRK STRETCH VELOUR STIRRUP LEGGING","Брюки"
"WFWJ85657/415","DNM HANDS OFF FLORAL EMBELLISHED JACKET","Куртки"
"WFWD84561/419","SW HAILEY LACE SHIFT DRESS","Платья"
"WFSB85786/419","SWTR CASHMERE COLORBLOCK PANT","Брюки"
"WFWB85656/415","DNM FLORAL EMBELLISHED BOYFRIEND JEAN","Джинсы"
"WFWJ86311/496","HW ELODIE TWEED JACKET","Жакеты"
"WFKD89371/419","KNT FIT & FLARE PONTE DRESS","Платья"
"WHB773/419","FAIRMONT FAIRYTALE FLORAL MINI BUCKLE BA","Backpack"
"WTKT68025/419","TRK STRETCH VELOUR CAMI","Топы, майки"
"WTKT62189/419","TRK SPRING BOUQUET CLASSIC SS TEE","Футболки"
"WTKR74276/419","TRK MICROTERRY JUICY SUNSET ROMPER","Комбинезоны"
"WTKJ68021/419","TRK VELOUR FAIRFAX JACKET","Куртки"
"WTKJ68019/419","TRK VELOUR BEACHWOOD JACKET","Толстовки"
"WTKB68022/419","TRK VELOUR SILVERLAKE PANT","Брюки"
"WFWT65655/483","DNM SHIRTING CHAMBRAY TOP","Блузки"
"WJW57507/419","S/3 CHARMY","Заколки, резинки, шпильки"
"WFKT57936/049","FT MON AMOUR GRAPHIC TEE","Футболки"
"WFKT57635/419","FT BALTIC FLORAL EMB PULLOVER","Свитера"
"WFKT57356/049","KNT JUICY TIGER GRAPHIC TEE","Футболки"
"WFKJ57630/419","FT ZEPHYR FRENCH TERRY JACKET","Толстовки"
"WFKB57632/419","FT ZEPHYR FRENCH TERRY STRAIGHT LEG PANT","Брюки"
"WJW57510/419","S/10 CHARMY","Заколки, резинки, шпильки"
"WTKJ50599/419","LOGO VLR JUICY STUD SCRIPT ROBERTSON JCK","Толстовки"
"WTKJ50567/441","LOGO VLR FLEUR COUTURE ROBERTSON JACKET","Толстовки"
"WTKJ50551/419","J BLING WESTWOOD VLR JACKET","Толстовки"
"WTKB50600/419","LOGO VLR JUICY STUD SCRIPT DEL REY PANT","Брюки"
"WTKB50568/441","LOGO VLR FLEUR COUTURE DEL REY PANT","Брюки"
"WTKT56809/419","LOGO JUICY STUD SCRIPT LS TEE","Футболки"
"WHB500/419","SOLSTICE PAISLEY EMBROIDERY MINI BACKPAC","Backpack"
"WFWJ52563/418","HW NOVELTY PUFFER FAUX FUR COAT","Пальто"
"WFWD52974/419","SW BALATON JACQUARD DRESS","Платья"
"WFWB53262/460","DNM DARK RINSE FLARE JEAN","Джинсы"
"WFST53145/419","SWTR WOVEN BACK BEADED PLAID CARDIGAN","Кардиганы"
"WFKT53193/419","KNT JERSEY JUICY ICONIC TEE","Футболки"
"WFKT53193/049","KNT JERSEY JUICY ICONIC TEE","Футболки"
"WFKT52603/419","KNT SHOP NOW FASHION GRAPHIC TEE","Футболки"
"WFKT50579/049","KNT JUICY LACE GRAPHIC TEE","Футболки"
"WFKJ56746/419","FT TOTALLY JUICY SUNSET JACKET","Толстовки"
"WFKD56716/419","KNT PONTE LASER CUT DRESS","Платья"
"WFKB56748/419","FT TOTALLY JUICY ZUMA PANT","Брюки"
"GHB88/049","TRAVELING JUICY GIRL SURFSIDE BACKPACK","Backpack"
"WFWR48212/425","DNM INDIGO CHAMBRAY JUMPSUIT","Комбинезоны"
"WFKT43128/419","KNT STAY GLAM GRAPHIC TEE","Футболки"
"WFKT43264/442","KNT YO JUICY GRAPHIC TEE","Футболки"
"WFST41641/420","SWTR EMBROIDERED VARSITY SWEATER JACKET","Жакеты"
"WFWJ42868/463","DNM FLORAL EMBROIDERED DENIM JACKET","Жакеты"
"WFWD42026/417","SW SILK ANTIBES TILE DRESS","Платья"
"WFWD42018/442","SW CORAL REEF GUIPURE LACE DRESS","Платья"
"WFWD41998/446","SW SILK MATISSE FLORAL DRESS","Платья"
"WFWB42883/453","DNM CORE SKINNY JEAN","Джинсы"
"WHB287/422","TOPANGA FRINGE MINI DRAWSTRING","Pouches"
"WIKT34823/410","MODAL JC MONARCH LEOPARD PULLOVER","Пижамы"
"WIKB34826/410","MODAL MONARCH LEOPARD SHORT","Пижамы"
"WJW575/463","R - ROYAL PUNK RING SET","Кольца"
"WTKT31326/465","LOGO JC CROWN VLR ORIG JACKET","Толстовки"
"WTKB31356/465","LOGO JC CROWN VLR ORIG PANT","Брюки"
"WFWT32464/419","LONG PUFFER COAT","Пальто"
"WFWD28595/418","HOT SUMMER STRIPE DRESS","Платья"
"WFWB28576/401","GLOBETROTTER TWEED SHORT","Шорты"
"WFWB24062/REGL","EMBROIDERED CREPE PANT","Брюки"
"WIKD24575/REGL","SLEEPY HEART JACQUARD NIGHTIE","Футболки"
"WTKT25281/REGL","J BLING S/S TERRY JACKET","Толстовки"
"WTKB25271/DROY","MODERN TRACK SLIM VLR PANT","Брюки"
"JG006697/REG","VELOUR BLING BOOTCUT PANT","Брюки"
"WFKT78470/119","KNT EMBELLISHED CALIFORNIA TANK","Футболки"
"WTKT87126/119","TRK INTERWOVEN JC HIGH-LOW SS TEE","Футболки"
"WFKT89013/119","KNT DOME STUD EMB TEE","Футболки"
"WFKT86052/106","KNT YAS QUEEN GRAPHIC TEE","Футболки"
"WFKT86041/119","KNT JUICYLAND GRAPHIC TEE","Футболки"
"WFKT86029/119","KNT MAGIC GRAPHIC TEE","Футболки"
"WFKT86026/119","KNT HANDS OFF TANK","Футболки"
"WTKT62205/119","TRK CRYSTAL DREAMS CLASSIC SS TEE","Футболки"
"WTKR74276/119","TRK MICROTERRY JUICY SUNSET ROMPER","Комбинезоны"
"WTKJ65972/119","TRK MICROTERRY JACKET W RACER STRIPE","Толстовки"
"WTKD72818/119","TRK MICROTERRY TANK DRESS W RACER STRIPE","Платья"
"WTKB72821/119","TRK MICROTERRY PANT W RACER STRIPE","Брюки"
"WFWT71908/106","SW PALMS LACE TOP","Блузки"
"WFST64417/100","SWTR INTARSIA PULLOVER","Толстовки"
"WFKT72118/119","KNT WASHED JERSEY STUDDED TEE","Футболки"
"WFKT69337/119","KNT COLLEGIATE DISTRESSED TANK","Футболки"
"WFKT67979/154","KNT CALI VIBE COLORBLOCK GRAPHIC TEE","Футболки"
"WFKT64662/119","KNT HOLLYWOOD DISTRESSED GRAPHIC TANK","Футболки"
"WFKT60963/119","KNT YEAH SEQUIN GRAPHIC TEE","Футболки"
"WFKT57358/119","KNT BLING IT ON TIGER GRAPHIC TEE","Футболки"
"WTKT56809/160","LOGO JUICY STUD SCRIPT LS TEE","Футболки"
"WTKT50589/119","LOGO STUDDED MEDALLION SS TEE","Футболки"
"WTKT50582/160","LOGO GEO CROWN SS TEE","Футболки"
"WTKT50569/160","LOGO FLEUR COUTURE SS TEE","Футболки"
"WTKT50560/119","LOGO STARBURST CAMEO SS TEE","Футболки"
"WFKT57067/119","FT COUTURE ANYONE FASHION GRAPHIC TEE","Футболки"
"WFKT56705/119","KNT STAY GOLD FASHION GRAPHIC TEE","Футболки"
"WFKT53193/119","KNT JERSEY JUICY ICONIC TEE","Футболки"
"WFKJ52724/101","FT COLOR BLOCK FRENCH TERRY JACKET","Кардиганы"
"WFA149/101","JUICY JACQUARD GLOVES","Перчатки, варежки, муфты"
"WFA134/101","JUICY JACQUARD SCARF","Шарфы"
"WFA133/101","JUICY JACQUARD HAT","Шапки"
"WFKT47655/119","KNT JUICY DID IT FIRST GRAPHIC TEE","Футболки"
"WFKT47654/119","KNT FASHION IS MY FAVORITE GRAPHIC TEE","Футболки"
"WFWD47772/662","SW SILK GRAPHIC FLORAL DRESS","Платья"
"WFWD42064/111","SW SILK KASBAH PAISLEY BORDER DRESS","Платья"
"WFKT42039/113","FT MARRAKECH EMBROIDERED PULLOVER","Свитера"
"WFST41640/119","SWTR POPCORN STITCH LOOSE PULLOVER","Свитера"
"WTKB31357/109","LOGO JC MEDALLION VLR ORIG PANT","Брюки"
"WFA48/117","JUICY STUDDED LOGO SCARF","Шарфы"
"WFWT32504/109","LT WT MIXED PUFFER VEST","Жилеты"
"WFST32308/109","BOXY PULLOVER","Свитера"
"WFKT28808/119","EMBELLISHED PALM TANK","Футболки"
"WFWT28610/119","SUNDIAL STRIPED LACE TOP","Блузки"
"WFWD28438/119","TIKI EYELET MAXI DRESS","Платья"
"WFWT24043/ANGL","DAISY GUIPUERE BUSTIER","Блузки"
"WFWT24050/ANGL","EMBROIDERED COTTON W/LACE TOP","Блузки"
"WFKT24249/ANGL","MIXED FABRIC EMB APPLIQUE TOP","Блузки"
"WFKT24176/WHIT","GRAPHIC BRUSH MICROTERRY PULLOVER","Свитера"
"WIKD24960/WHIT","NEED MORE SLEEP' GRAPHIC NIGHTIE","Футболки"
"WSKT24592/WHIT","GRAPHIC MUSCLE TEE","Топы, майки"
"WSKT24596/WHIT","REVERSIBLETANK W/BBALL MESH","Топы, майки"
"WIWT24581/WHIT","WISTERIA VOILE CAMI","Топы, майки"
"WIWB24582/WHIT","WISTERIA VOILE PANT","Пижамы"
"WFKT25439/WHIT","PALM SPRINGS SCOOP NECK GRAPHIC TEE","Футболки"
"JG010359/FVDOT","LUREX STRIPE SILK BLOUSE","Блузки"
"WTKB108847/009","JUICY GOTHIC CRYSTALS VELOUR HIGH-RISE ZUMA PANT","Брюки"
"WTKT108845/009","JUICY GOTHIC CRYSTALS VELOUR HOODED PULLOVER","Толстовки"
"WTKD77929/009","TRK VLR SPORTY HERITAGE DRESS","Платья"
"WTKD77906/009","TRK VELOUR LACE UP STRAPPY DRESS","Платья"
"WTKB82730/009","TRK STRETCH VELOUR STIRRUP LEGGING","Леггинсы"
"JWTKT78391/009","TRK EMBROIDERED TERRY PULLOVER","Свитера"
"JWTKB78390/009","TRK EMBROIDERED TERRY TRACK PANT","Брюки"
"WFWT86564/009","SW SOLID RUFFLE TIE FRONT TOP","Топы, майки"
"WTKT87125/009","TRK VLR INTERWOVEN JC CREW SS TEE","Футболки"
"WTKT82859/009","TRK LT WT VELOUR PARADISE COVE PULLOVER","Свитера"
"WTKJ87124/009","TRK VLR INTERWOVEN JC ROBERTSON JKT","Толстовки"
"WTKJ86227/009","TRK VELOUR SOLID BLAZER","Жакеты"
"WTKB87100/996","TRK VLR JUICY GEMS COLORBLOCKED ZUMA PNT","Брюки"
"WTKB86102/009","TRK LT WT VLR CROPPED WIDE LEG TROUSER","Брюки"
"WTKB103791/009","TRK VLR INTERWOVEN JC DEL REY PANT","Брюки"
"WFKT89013/009","KNT DOME STUD EMB TEE","Футболки"
"WFWB94006/009","SW SOLID RUFFLE SKIRT","Юбки"
"WHB778/009","FAIRMONT FAIRYTALE VELOUR BUCKLE BACKPAC","Backpack"
"WHB774/009","FAIRMONT FAIRYTALE VELOUR LIL J","Crossbody"
"WHB772/009","FAIRMONT FAIRYTALE LEATHER MINI BACKPACK","Backpack"
"WTKT72844/009","TRK FRENCH TERRY STUD EMB  PULLOVER","Свитера"
"WTKJ68021/009","TRK VELOUR FAIRFAX JACKET","Толстовки"
"WTKJ68019/009","TRK VELOUR BEACHWOOD JACKET","Толстовки"
"WTKJ65984/009","TRK TRICOT GRAPHIC JACKET W STRIPE","Куртки"
"WTKJ65972/009","TRK MICROTERRY JACKET W RACER STRIPE","Толстовки"
"WTKD68023/009","TRK STRETCH VELOUR FITTED TANK DRESS","Платья"
"WTKB72845/009","TRK FRENCH TERRY STUD EMB SLIM PANT","Брюки"
"WTKB72821/009","TRK MICROTERRY PANT W RACER STRIPE","Брюки"
"WTKB68034/132","TRK TRICOT FULLERTON DAISY PANT W STRIPE","Брюки"
"WTKB68033/132","TRK TRICOT FULLERTON DAISY SHORT","Шорты"
"WTKB68022/009","TRK VELOUR SILVERLAKE PANT","Брюки"
"WFWT71908/180","SW PALMS LACE TOP","Блузки"
"WFWT64965/136","SW BUTTERFLY LACE TOP","Блузки"
"WFWD68287/141","SW CHERRY BURST TANK DRESS","Платья"
"WFWD68260/009","SW STUDDED RUFFLE DRESS","Платья"
"WFWD65341/145","SW GOSSIP POP JACQUARD DRESS","Платья"
"WFWD65333/132","SW FULLERTON DAISY FLIRTY DRESS","Платья"
"WFWD65331/132","SW FULLERTON DAISY MAXI DRESS","Платья"
"WFWD64962/963","SW DREW LACE DRESS","Платья"
"WFWD64959/009","SW FLIRTY RUFFLE DRESS","Платья"
"WFWD64955/135","SW DOWNTOWN FLORAL EMBR MESH DRESS","Платья"
"WFWB73576/963","SW DREW LACE SHORTS","Шорты"
"WFWB71910/180","SW PALMS LACE SKIRT","Юбки"
"WFWB65318/136","SW BUTTERFLY LACE SKIRT","Юбки"
"WFST69130/009","SWTR JACQUARD JUICY LOVE GLAM PULLOVER","Свитера"
"WFST64417/009","SWTR INTARSIA PULLOVER","Толстовки"
"WFSD64392/158","SWTR MIX STITCH LUREX STRIPE DRESS","Платья"
"WFKT72118/009","KNT WASHED JERSEY STUDDED TEE","Футболки"
"WFKT66190/006","KNT LA MADE IN ROCK GRAPHIC TEE","Футболки"
"WFKT64636/009","KNT FLORAL DANCE LACE TEE","Футболки"
"WFKD64623/969","KNT COLORBLOCK SCUBA DRESS","Платья"
"WFKB64785/968","KNT COLOBLOCKED LEGGING","Брюки"
"WFWT57367/009","SW SATIN BLOUSE","Блузки"
"WFWJ65944/009","HW LEATHER JACKET","Куртки"
"WFWJ60840/009","HW HOODED PUFFER JACKET","Куртки"
"WFWJ60839/009","HW PUFFER COAT W FAUX FUR COLLAR","Пальто"
"WFWJ57415/009","HW NYLON SATEEN PARKA","Куртки"
"WFWJ57410/009","HW MELTON EMBROIDERED COAT","Пальто"
"WFWD60967/009","SW FLIRTY DRESS","Платья"
"WFKT64975/009","FT EMBELLISHED PULLOVER","Свитера"
"WFKT57933/009","FT LOVE JUICY COUTURE TEE","Футболки"
"WFKT57674/009","FT SWEET HEART EMBROIDERY PULLOVER","Свитера"
"WFKJ57687/009","FT EMBELLISHED LACE JACKET","Куртки"
"WFKD57338/009","KNT GEO SEQUIN EMBELLISHED MESH DRESS","Платья"
"WFKD57337/009","KNT BAROQUE FLORAL LACE DRESS W EMB NECK","Платья"
"WFKB57712/009","KNT PONTE BUCKLE BELT PANT","Брюки"
"WFKB57688/009","FT EMBELLISHED LACE PANT","Брюки"
"WFKB57676/009","FT SWEET HEART EMBROIDERY PANT","Брюки"
"WFKB57343/009","KNT FAUX LEATHER LEGGING","Брюки"
"WJW66558/009","FASHION CHOKER","Колье, цепочки, шнурки"
"WHB575/009","LUXE PARTY FEATHER CROSSBODY","Crossbody"
"WHB538/009","SOLSTICE GOLD EMBROIDERY MINI BACKPACK","Backpack"
"WFKJ56727/009","FT VLR EAU DE COUTURE WESTWOOD JACKET","Толстовки"
"WFKB56728/009","FT VLR EAU DE COUTURE MALIBU PANT","Брюки"
"WTKJ50583/009","LOGO VLR GARDEN EMBROIDERY ROBERTSON JCK","Толстовки"
"WTKJ50551/009","J BLING WESTWOOD VLR JACKET","Толстовки"
"WTKB50584/009","LOGO VLR GARDEN EMBROIDERY ZUMA PANT","Брюки"
"WSKB53182/009","SPT JC LONG LEGGING","Леггинсы"
"WSG126/009","BRENTWOOD COSMETIC CASE","Косметички"
"WTKT50585/009","LOGO GARDEN EMBROIDERY SS TEE","Футболки"
"WSKT53179/009","SPT WILD AND FREE PULLOVER","Свитера"
"WSG147/009","LAUREL CHAINED WALLET","Кошельки"
"WSG145/009","BRENTWOOD PHONE CROSSBODY","Чехлы"
"WSG125/009","BRENTWOOD TECH WALLET","Кошельки"
"WHB487/009","FOLKLORE FLORAL BACKPACK","Backpack"
"WHB485/009","FOLKLORE FLORAL MICRO BACKPACK","Backpack"
"WHB484/009","WESTLAKE CONVERTIBLE CROSSBODY FANNYPACK","Crossbody"
"WHB483/009","WESTLAKE BACKPACK","Backpack"
"WHB456/009","BALBOA TOP HANDLE CROSSBODY","Crossbody"
"WHB454/500","BALBOA MINI CROSSBODY","Crossbody"
"WHB454/009","BALBOA MINI CROSSBODY","Crossbody"
"WHB453/009","LAUREL BACKPACK","Backpack"
"WHB451/009","LAUREL CROSSBODY","Crossbody"
"WHB449/009","SOLSTICE FLOWER APPLIQUE MINI BACKPACK","Backpack"
"WHB448/500","SOLSTICE SPORTY STRIPE MINI BACKPACK","Backpack"
"WHB433/009","BRENTWOOD BACKPACK","Backpack"
"WHB430/009","BRENTWOOD DUFFLE","Crossbody"
"WHB429/009","BRENTWOOD MULTI CLUTCH","Clutch"
"WFWJ53188/500","HW FLEECE BONDED NYLON PARKA","Куртки"
"WFWJ52549/009","HW PUFFER COAT","Пальто"
"WFKT56742/009","KNT JUICY CHAIN GRAPHIC TEE","Футболки"
"WFKT56729/009","KNT EAU DE COUTURE GRAPHIC TEE","Футболки"
