"Артикул","Название модели (англ. ориг. поставщика)","Подгруппа"
"JG005959/TOPH","J BLING ORIG VLR JACKET","Толстовки"
"JG008318/TOPH","SLIM COMFY PANT","Брюки"
"WFKT78470/452","KNT EMBELLISHED CALIFORNIA TANK","Футболки"
"WFWD76730/962","SW HORIZON STRIPE DRESS","Платья"
"WFST82959/982","STWR GOTHIC JUICY COLORBLOCKED PULLOVER","Свитера"
"WFST77638/969","SWTR LUREX STRIPE LT WT CARDIGAN","Кардиганы"
"WFST85787/962","SWTR MULTI-COLOR STRIPE PULLOVER W SCARF","Свитера"
"WFWD47701/446","SW SILK COASTLINE STRIPE DRESS","Платья"
"WFWB48198/414","DNM TIE BLEACH GIRLFRIEND JEAN","Джинсы"
"WFKT43122/105","KNT MATISSE FLORAL GRAPHIC TEE","Футболки"
"WFKD42153/976","KNT JERSEY ST TROPEZ STRIPE MAXI DRESS","Платья"
"WFWD41999/964","SW SILK DEL MAR CHEVRON DRESS","Платья"
"WFWT32452/506","BOHO GODDESS PETUNIA SHIRT","Блузки"
"WFSD32605/954","OPPOSITES ATTRACT HEART JACQUARD DRESS","Платья"
"WIWD24588/SOPAL","FOREVER PALMS SILK AND LACE ROMPER","Пижамы"
"WSKT24596/FPLEO","REVERSIBLETANK W/BBALL MESH","Топы, майки"
"WTKT86098/612","TRK LW VELOUR VNECK PULLOVER","Толстовки"
"WTKJ85956/612","TRK VLR SOLID QUILTED BOMBER","Куртки"
"WTKD96095/410","TRK STRCH VLR STRIPED FITTED MIDI DRESS","Платья"
"WTKB79173/612","TRK LW VELOUR MALIBU PANT","Брюки"
"WHB774/612","FAIRMONT FAIRYTALE VELOUR LIL J","Crossbody"
"WJW575/622","R - ROYAL PUNK RING SET","Кольца"
"WSG46/621","LUXE LOCKS FLAP WALLET","Кошельки"
"WIWT25142/SSTAR","SILK S/S PJ TOP","Пижамы"
"WIWB25143/SSTAR","SILK PJ PANT","Пижамы"
"WIWD25141/SSTAR","SILK NIGHTSHIRT","Сорочки ночные"
"WFST26380/SIRE","TONAL DAISY INTARSIA PULLOVER","Свитера"
"WFWD24031/ASIRE","OVERPRINTED PLEATED DRESS","Платья"
"WFWD24005/SBUDS","DARLING BUDS WASHED SILK DRESS","Платья"
"WTKT103090/238","TRK STRETCH VELOUR STRIPED PULLOVER","Свитера"
"WSG15/LMDE","PALM OASIS SLGS PINAPPLE COIN PURSE","Кошельки"
"JG010362/FFLOR","PRINTED SILK PANT","Брюки"
"YJRU8214/GOLD","N - pave and gold spike chain necklace","Колье, цепочки, шнурки"
"YJRU8264/GOLD","R - kitty ring","Кольца"
"YJRU8212/GOLD","R - pave open double ring","Кольца"
"YJRU8132/GOLD","R - pave lips ring","Кольца"
"YJRU8131/GOLD","R - pave eye ring","Кольца"
"YJRU8349/GOLD","C - puffed pave heart mini charm","Подвески, кулоны"
"YJRU8320/GOLD","C - pave cat mini charm","Подвески, кулоны"
"YJRU8182/GOLD","N - ""a piece of my heart"" necklace","Колье, цепочки, шнурки"
"YJRU8176/GOLD","N - pave ball large chain necklace","Колье, цепочки, шнурки"
"YJRU8115/GOLD","N - gold bow & medallion chain link neck","Колье, цепочки, шнурки"
"WHB499/987","SOLSTICE LEOPARD MINI BACKPACK","Backpack"
"WJW70959/712","VELVET CHOKER","Колье, цепочки, шнурки"
"WJW70958/712","LACE CHOKER","Колье, цепочки, шнурки"
"WJW62464/712","CHARM STARTER CHOKER NECKLACE","Колье, цепочки, шнурки"
"WJW62464/040","CHARM STARTER CHOKER NECKLACE","Колье, цепочки, шнурки"
"WSG235/139","FULLERTON DAISY CARD CASE","Визитницы"
"WSG231/009","BEACHWOOD CANYON WALLET ON A CHAIN","Кошельки"
"WSG227/985","ZEPHYR LEOPARD WALLET ON A CHAIN","Кошельки"
"WSG226/985","ZEPHYR LEOPARD PHONE WALLET","Чехлы"
"WSG220/132","FULLERTON DAISY PHONE WALLET","Чехлы"
"WJW71050/040","PAVE HEART HOOP EARRINGS","Серьги"
"WJW71049/712","PINEAPPLE WISHES STUDS","Серьги"
"WJW71010/712","HEART EXPRESSIONS STUD SET","Серьги"
"WJW71010/040","HEART EXPRESSIONS STUD SET","Серьги"
"WJW71009/712","JUICY EXPRESSIONS STUD SET","Серьги"
"WJW71009/040","JUICY EXPRESSIONS STUD SET","Серьги"
"WJW68789/712","BEADED CROWN LUXE WISHES RING","Кольца"
"WJW68789/040","BEADED CROWN LUXE WISHES RING","Кольца"
"WJW68694/712","LOVE RULES CUFF","Браслеты"
"WJW68694/040","LOVE RULES CUFF","Браслеты"
"WJW68679/712","LOVE LETTERS CHAIN BRACELET","Браслеты"
"WJW68679/040","LOVE LETTERS CHAIN BRACELET","Браслеты"
"WJW68277/712","BEADED CROWN LUXE WISHES BRACELET","Браслеты"
"WJW68277/040","BEADED CROWN LUXE WISHES BRACELET","Браслеты"
"WJW68271/712","HEART HOOP EARRINGS","Серьги"
"WJW68271/040","HEART HOOP EARRINGS","Серьги"
"WJW68261/712","DAINTY V HAND CHAIN","Браслеты"
"WJW68261/040","DAINTY V HAND CHAIN","Браслеты"
"WJW66481/690","HEART ARROW LUXE WISHES RINGS","Кольца"
"WJW66481/040","HEART ARROW LUXE WISHES RINGS","Кольца"
"WJW66479/712","BEADED CROWN LUXE WISHES EARRINGS","Серьги"
"WJW66479/040","BEADED CROWN LUXE WISHES EARRINGS","Серьги"
"WJW62542/712","MINI CHARM LUXE WISHES BRACELET","Браслеты"
"WJW62540/712","MINI CHARM LUXE WISHES NECKLACE","Колье, цепочки, шнурки"
"WJW62537/712","BEADED CROWN LUXE WISHES NECKLACE","Колье, цепочки, шнурки"
"WJW62528/712","PAVE INFINITY LUXE WISHES BRACELET","Браслеты"
"WJW62528/040","PAVE INFINITY LUXE WISHES BRACELET","Браслеты"
"WJW62527/712","PAVE INFINITY LUXE WISHES RING","Кольца"
"WJW62527/040","PAVE INFINITY LUXE WISHES RING","Кольца"
"WJW62518/712","LOVE YOU LATTE KEY FOB","Брелки"
"WJW62495/690","HEART ARROW LUXE WISHES EARRINGS","Серьги"
"WJW62495/040","HEART ARROW LUXE WISHES EARRINGS","Серьги"
"WJW62492/712","SLIDING CROWN EXPRESSIONS BRACELET","Браслеты"
"WJW62492/040","SLIDING CROWN EXPRESSIONS BRACELET","Браслеты"
"WJW62490/712","CROWN EXPRESSIONS STUD SET","Серьги"
"WJW62490/040","CROWN EXPRESSIONS STUD SET","Серьги"
"WJW62489/712","SLIDING CROWN EXPRESSIONS NECKLACE","Колье, цепочки, шнурки"
"WJW62489/040","SLIDING CROWN EXPRESSIONS NECKLACE","Колье, цепочки, шнурки"
"WJW62487/690","HEART ARROW LUXE WISHES BRACELET","Браслеты"
"WJW62487/040","HEART ARROW LUXE WISHES BRACELET","Браслеты"
"WJW62486/690","HEART ARROW LUXE WISHES NECKLACE","Колье, цепочки, шнурки"
"WJW62453/712","HEART LINK STATEMENT BRACELET","Браслеты"
"WJW62450/712","ICE CREAM CONE CHARM","Подвески, кулоны"
"WJW62445/712","EVIL EYE CHARM","Подвески, кулоны"
"WJW62436/040","CHOCOLATE BOX HEART CHARM","Подвески, кулоны"
"WJW62434/712","BEE CHARM","Подвески, кулоны"
"WHB689/113","PACIFIC YEAH BACKPACK","Backpack"
"WHB688/009","PACIFIC GRAFFITI BACKPACK","Backpack"
"WHB647/009","BEACHWOOD CANYON MINI BACKPACK","Backpack"
"WHB642/009","OLYMPIC SATCHEL","Satchels"
"WFWR65666/054","DNM GREY TENCEL ROMPER","Комбинезоны"
"WFWJ65324/138","HW BLACK MIXED TWEED JACKET","Жакеты"
"WFWD64959/118","SW FLIRTY RUFFLE DRESS","Платья"
"WFWD64958/964","SW CHATEAU LEOPARD LACE TRIM DRESS","Платья"
"WFWB72634/484","DNM GOSSIP POP PATCHED INDIGO SHORT","Шорты"
"WFWB65325/138","HW BLACK MIXED TWEED SKIRT","Юбки"
"JWTKT71633/049","TRK CALIFORNIA PATCHES PULLOVER","Свитера"
"JWFKT73485/666","KNT JUICY ROUND LOGO GRAPHIC TEE","Футболки"
"JWFKT73485/453","KNT JUICY ROUND LOGO GRAPHIC TEE","Футболки"
"JWFKT73485/100","KNT JUICY ROUND LOGO GRAPHIC TEE","Футболки"
"JWFWD71890/458","SW CHAMBRAY RUFFLE DRESS","Платья"
"JWFWD71888/100","SW DOBBY DRESS","Платья"
"JWFWB75820/428","DNM INDIGO DIP DYE SKIRT","Юбки"
"JWFWB71108/428","DNM INDIGO DIP DYE GIRLFRIEND JEAN","Джинсы"
"JWFWB71103/470","DNM PALM PATCHED MID RISE SHORT W/ FRAY","Шорты"
"JWFWB71080/007","DNM BLACK MID RISE SHORT W/ FRAY","Шорты"
"JWFKT73486/687","KNT JUICY LOGO GRAPHIC TEE","Футболки"
"JWFKT73486/119","KNT JUICY LOGO GRAPHIC TEE","Футболки"
"JWFKT73486/009","KNT JUICY LOGO GRAPHIC TEE","Футболки"
"JWFWJ71094/467","DNM CHEEKY WASH W GROMMETS VEST","Жилеты"
"JWFWJ71092/468","DNM BREEZY WASH JACKET","Куртки"
"JWFWD71752/993","SW FLORAL ILLUSION LACE DRESS","Платья"
"JWFWB73574/464","DNM PARADISE WASH CORE SHORT","Шорты"
"JWFWB71884/468","DNM BREEZY WASH GIRLFRIEND SHORT","Шорты"
"JWFWB71883/468","DNM BREEZY WASH SKINNY JEAN","Джинсы"
"JWFWB71765/009","SW TUMBLED SATIN PANT","Брюки"
"JWFWB71404/103","DO NOT USE  DROPPED FOR BULK","Шорты"
"JWFWB71401/742","DNM SUNSET WASH SKINNY CROP JEAN","Джинсы"
"JWFWB71097/103","DNM BLEACHED BLONDE WASH SKIRT","Юбки"
"JWFWB71096/467","DNM CHEEKY WASH W FRAY SKIRT","Юбки"
"JWFWB71072/461","DNM MOONLIGHT WASH SKINNY JEAN","Джинсы"
"JWFKR71779/009","KNT TAKE ME TO PARADISE KNIT ROMPER","Комбинезоны"
"R23J005/110","BOW BACK CAMI","Топы, майки"
"R23J005/001","BOW BACK CAMI","Топы, майки"
"R26J016/030","LACING DETAIL PULLOVER","Пижамы"
"R26J016/001","LACING DETAIL PULLOVER","Пижамы"
"R87J004/960","CAMI & SHORTIE PJ SET","Пижамы"
"R64J002/960","SLIM PANT","Пижамы"
"WJW57505/110","S/3 CHARMY","Заколки, резинки, шпильки"
"WFWJ57418/005","HW SPECKLED TWEED JACKET","Жакеты"
"WFWB57421/005","HW SPECKLED TWEED SKIRT","Юбки"
"WFKD63316/003","KNT SPARKLE PONTE DRESS","Платья"
"WFWT57367/434","SW SATIN BLOUSE","Блузки"
"WFWJ60840/434","HW HOODED PUFFER JACKET","Куртки"
"WFWJ57701/313","FT BONDED SATIN JACKET","Куртки"
"WFWD57406/968","SW ROMANOV SILK SHIRTDRESS","Платья"
"WFWD57405/416","SW AVANT-GARDE GEO DRESS","Платья"
"WFWB66187/473","DNM RIP AND REPAIR GIRLFRIEND JEAN","Джинсы"
"WFWB60974/459","DNM EMBELLISHED BOYFRIEND JEAN","Джинсы"
"WFWB57548/403","DNM CHAIN TRIMMED SKINNY JEAN","Джинсы"
"WFWB57323/968","SW SILK ROMANOV FLORAL HAREM PANT","Брюки"
"WFST57843/975","SWTR EXPLODED BELARUS GEO PULLOVER","Свитера"
"WFST57837/534","SWTR IMPERIAL LEOPARD JACQUARD CARDIGAN","Кардиганы"
"WFSD57842/951","SWTR SPUTNIK GEO JACQUARD SWEATER DRESS","Платья"
"WFSB57794/011","SWTR PLEATED DAZZLE SKIRT","Юбки"
"WFKT63267/669","KNT COSMONAUT GEO JACQUARD PULLOVER","Свитера"
"WFKT63257/413","KNT COLORBLOCK PONTE PULLOVER","Свитера"
"WFKT57658/535","FT IMPERIAL LEOPARD PULLOVER","Свитера"
"WFKJ57333/985","KNT LUREX BOUCLE FUNNEL NECK JACKET","Жакеты"
"WFKD57339/413","KNT PONTE COLOR BLOCK DRESS","Платья"
"WFKB57659/535","FT IMPERIAL LEOPARD RELAXED LOUNGE PANT","Брюки"
"WSG161/535","BRENTWOOD CARD CASE","Визитницы"
"WJW61959/610","PUFF CROWN KEY FOB","Брелки"
"WJW57510/538","S/10 CHARMY","Заколки, резинки, шпильки"
"WJW57508/541","S/3 CHARMY","Заколки, резинки, шпильки"
"WHB577/021","NOVELTY BALBOA LACE MINI CROSSBODY","Crossbody"
"WHB576/968","NOVELTY BALBOA ROMANOV FLORAL MINI CROSS","Crossbody"
"WHB563/535","BRENTWOOD MULTI CLUTCH","Clutch"
"WHB524/437","BRENTWOOD TOP HANDLE CROSSBODY","Crossbody"
"WHB523/437","BRENTWOOD MULTI CLUTCH","Clutch"
"WHB520/005","WESTSIDE BACKPACK","Backpack"
"WHB519/005","WESTSIDE CONVERTIBLE CROSSBODY SHOULDER","Crossbody"
"WFST62946/052","SWTR SWAROVSKI CASHMERE TRACK JACKET","Толстовки"
"WFST62207/052","SWTR CASHMERE TRACK JACKET","Толстовки"
"WFST62207/026","SWTR CASHMERE TRACK JACKET","Толстовки"
"WFSB62203/052","SWTR CASHMERE PANT","Брюки"
"WFSB62203/026","SWTR CASHMERE PANT","Брюки"
"WFA185/026","CASHMERE BEANIE","Шапки"
"WFA183/026","CASHMERE SCARF","Шарфы"
"WFKJ52587/420","KNT BONDED JACQUARD MILITARY JACKET","Куртки"
"WSKT53180/002","SPT WILD AND FREE TONAL CHAIN ANORAK","Жакеты"
"WHB514/107","BALBOA MINI CROSSBODY","Crossbody"
"WHB512/541","BALBOA MINI CROSSBODY","Crossbody"
"WHB465/509","SILVERLAKE BUCKET BAG","Pouches"
"WHB446/981","JC SPORT CHAIN KIT BAG","Crossbody"
"WFWT56724/651","SW BUCHAREST FLORAL LACE TOP","Топы, майки"
"WFWT56724/003","SW BUCHAREST FLORAL LACE TOP","Топы, майки"
"WFWT52922/716","SW REGENT LEOPARD BLOUSE","Блузки"
"WFWT52874/988","SW KRONBERG PLAID BLOUSE","Блузки"
"WFWT52867/839","SW STOCKHOLM FLORAL BLOUSE","Блузки"
"WFWJ53160/712","HW QUILTED NYLON REVERSIBLE PUFFER JCKT","Жакеты"
"WFWJ53159/712","HW NYLON QUILTED REVERSIBLE PUFFER VEST","Жилеты"
"WFWJ52856/687","SW MARAMURES FLORAL JACQUARD JACKET","Кардиганы"
"WFWJ52577/541","HW CHUNKY TWEED JACKET","Куртки"
"WFWJ52575/412","HW BASKETWEAVE PLAID COAT","Пальто"
"WFWJ52574/411","HW MULTICOLOR FAUX FUR COAT","Пальто"
"WFWJ52539/542","HW WOOLY OMBRE COAT","Пальто"
"WFWJ52528/100","HW PAPER TWEED JACKET","Куртки"
"WFWD56700/509","SW ESMERELDA PLAID FLIRTY DRESS","Платья"
"WFWD52924/416","SW DANUBE FLORAL PRINT MIX MAXI DRESS","Платья"
"WFWD52909/651","SW BUCHAREST FLORAL LACE DRESS","Платья"
"WFWD52909/003","SW BUCHAREST FLORAL LACE DRESS","Платья"
"WFWD52907/687","SW MARAMURES JACQUARD DRESS","Платья"
"WFWD52905/540","SW ALBA FLORAL MAXI DRESS","Платья"
"WFWD52902/552","SW SILK TULCEA DITSY FLORAL DRESS","Платья"
"WFWD52897/838","SW SILK FABLE FLORAL MAXI DRESS","Платья"
"WFWD52884/978","SW SILK MALMO LANDSCAPE SHIRT DRESS","Платья"
"WFWD52880/103","SW SWEDISH FLORAL LACE DRESS","Платья"
"WFWD52865/839","SW STOCKHOLM FLORAL DRESS","Платья"
"WFWB53270/016","DNM BLACK SKINNY REPAIR JEAN","Джинсы"
"WFWB52910/651","SW BUCHAREST FLORAL LACE SKIRT","Юбки"
"WFWB52910/003","SW BUCHAREST FLORAL LACE SKIRT","Юбки"
"WFWB52876/988","SW KRONBERG PLAID MAXI SKIRT","Юбки"
"WFWB52579/541","HW CHUNKY TWEED SKIRT","Юбки"
"WFWB52559/100","HW PAPER TWEED SKIRT","Юбки"
"WFST56932/970","SWTR PUFFER SWEATER CARDIGAN","Кардиганы"
"WFST53136/671","SWTR TWISTED OMBRE CABLE PULLOVER","Свитера"
"WFST53131/665","SWTR TWEED MULTI YARN CHAIN CARDIGAN","Кардиганы"
"WFST53119/680","SWTR BASKET WEAVE STITCH LOOSE PULLOVER","Свитера"
"WFSJ53117/836","SWTR BOUCLE JACKET WITH EMBELLISHMENT","Кардиганы"
"WFSD56865/019","SWTR COUNTRYSIDE LACE JACQ SWEATER DRESS","Платья"
"WFSD53123/455","SWTR FJORD FLORAL JACQUARD SWEATER DRESS","Платья"
"WFKT56864/440","KNT MONOGRAM GRAPHIC TEE","Футболки"
"WFKT52605/442","KNT JUICY WRAP AROUND FASHION GRPHC TEE","Футболки"
"WFKT52596/830","KNT JUICY LABEL FASHION GRAPHIC TEE","Футболки"
"WFKJ52764/004","FT JUICY CHAIN VELOUR JACQ JACKET","Кардиганы"
"WFKJ52676/710","FT METALLIC FOIL FRENCH TERRY JACKET","Кардиганы"
"WFKD52540/834","KNT HOUNDSTOOTH JACQUARD DRESS","Платья"
"WFKD52537/973","KNT PONTE COLOR BLOCK DRESS","Платья"
"WFKD52535/108","KNT FJORD HERRINGBONE JACQUARD DRESS","Платья"
"WFKB53114/961","KNT ALL OVER FLORAL SEQUIN PENCIL SKIRT","Юбки"
"WFKB52769/004","FT JUICY CHAIN VELOUR JACQ PANT","Брюки"
"WFKB52720/652","FT COLOR BLOCK FRENCH TERRY SHORT","Шорты"
"WFA137/671","OMBRE TWISTED CABLE SCARF","Шарфы"
"WFA136/671","OMBRE TWISTED GLOVES","Перчатки, варежки, муфты"
"WFA135/671","OMBRE TWISTED CABLE HAT","Шапки"
